Tag,Monat,Jahr,Menge,Artikelnr.,Artikelname
2,2,2020,1132.0,2801,10 Kapseln Espresso Classico
2,2,2020,696.0,2802,10 Kapseln Espresso Elite
2,2,2020,5.0,328,Sirocco Espresso Pods à 80 Pods
2,2,2020,83.0,332,Sirocco Crema Dose gemahlen
2,2,2020,21.0,355,Guatemala Bohnen
2,2,2020,297.0,377,100 Teebeutel "Golden Assam"
2,2,2020,872.0,380,100 Teebeutel "Purple Breeze"
2,2,2020,1987.0,381,100 Teebeutel "Ceylon Sunrise"
2,2,2020,1810.0,383,100 Teebeutel "Japanese Sencha"
2,2,2020,2260.0,388,100 Teebeutel "Moroccan Mint"
2,2,2020,208.0,389,100 Teebeutel "Piz Palü"
2,2,2020,1118.0,390,100 Teebeutel "Verbena"
2,2,2020,256.0,391,100 Teebeutel "Red Kiss"
2,2,2020,411.0,392,100 Teebeutel "Black Chai"
2,2,2020,329.0,394,100 Teebeutel "Imperial Gold"
2,2,2020,373.0,396,100 Teebeutel "Jade Oolong"
2,2,2020,517.0,3971,100 Teebeutel "Green Jasmine"
2,2,2020,2318.0,400,20 Teebeutel "Purple Breeze"
2,2,2020,1295.0,404,20 Teebeutel "Yellow Wish"
2,2,2020,5650.0,412,20 Teebeutel "Black Chai"
2,2,2020,1138.0,414,20 Teebeutel "Imperial Gold"
2,2,2020,772.0,417,20 Teebeutel "Jasmine Dragon Pearls"
2,2,2020,1372.0,418,20 Teebeutel "Green Tropic"
2,2,2020,703.0,419,20 Teebeutel "Almond Oolong"
2,2,2020,2062.0,420,20 Teebeutel "Golden Assam"
2,2,2020,168.0,421,20 Teebeutel "Ceylon Decaf"
2,2,2020,26.0,4271,100 Teebeutel "Winter Moments"
2,2,2020,633.0,432,8 Teebeutel "New World Selection"
2,2,2020,60.0,4351,Ultimate Selection
2,2,2020,115.0,44011,Wellness Tea  100er „Pure Power“
2,2,2020,1274.0,4402,Wellness Tea 20er „Balance“
2,2,2020,101.0,44021,Wellness Tea 100er „Balance“
2,2,2020,4902.0,4403,Wellness Tea 20er „Relax"
2,2,2020,62.0,44031,Wellness Tea 100er „Relax"
2,2,2020,39.0,454,Offentee "Yellow Wish"
2,2,2020,68.0,456,Offentee "Rooibos Tangerine"
2,2,2020,71.0,460,Offentee "Verbena"
2,2,2020,46.0,464,Offentee "Imperial Gold"
2,2,2020,34.0,466,Offentee "Jade Oolong"
2,2,2020,22.0,469,Offentee "Almond Oolong"
2,2,2020,12.0,470,Offentee "Assam"
2,2,2020,17.0,472,Offentee "Black Vanilla"
2,2,2020,12.0,474,Offentee „Wellness Tea Pure Power“
2,2,2020,13.0,475,Offentee "Wellness Tea Balance“
2,2,2020,14.0,476,Offentee “Wellness Tea Relax"
2,2,2020,9.0,477,Offentee "Piña Moringa"
2,2,2020,20.0,480,Offentee Hibiscus Blüten
2,2,2020,146.0,500,Teedose "Purple Breeze"
2,2,2020,286.0,501,Teedose "Ceylon Sunrise"
2,2,2020,236.0,502,Teedose "Gentle Blue"
2,2,2020,635.0,506,Teedose "Rooibos Tangerine"
2,2,2020,1600.0,508,Teedose "Moroccan Mint"
2,2,2020,838.0,511,Teedose "Red Kiss"
2,2,2020,530.0,512,Teedose "Black Chai"
2,2,2020,581.0,513,Teedose "Ginger Lemon Dream"
2,2,2020,10.0,530,Carré au chocolat noir, Sirocco
2,2,2020,17.0,620,Filter Bravilor Pico, 1,8 Liter
2,2,2020,7.0,625,Filterpapier, 5 l (500 Stk.)
2,2,2020,9.0,626,Filterpapier, 10 l (500 Stk.)
2,2,2020,2.0,627,Filterpapier, 20 l (500 Stk.)
2,2,2020,6.0,628,Filterpapier, 30 l (500 Stk.)
2,2,2020,147.0,630,Kaffeemaschine"Sirocco Platinum"
2,2,2020,152.0,632,Wasserenthärtungsfilter
2,2,2020,1371.0,640,1000 Untersätzli
2,2,2020,25.0,654,Rührstäbchen (Holz)
2,2,2020,65.0,658,Sirocco Espresso Becher (Solo)
